spp,lon,lat
Tersina_viridis,-44.7877,-22.3553
Tersina_viridis,-46.731648,-22.944172
Tersina_viridis,-53.8018,-26.5723
Tersina_viridis,-54.451,-25.688
Tersina_viridis,-55.932,-9.5981
Tersina_viridis,-40.1001,-14.3834
Tersina_viridis,-46.5234,-20.309
Tersina_viridis,-63.78,-18.82
Tersina_viridis,-55.769785,-27.178924
Tersina_viridis,-54.52,-25.87
Tersina_viridis,-48.1,-24.53
Tersina_viridis,-53.9,-26.47
Tersina_viridis,-54.6,-25.9
Tersina_viridis,-51.4833,-21.1
Tersina_viridis,-44.57,-22.5
Tersina_viridis,-42.37,-20.08
Tersina_viridis,-48.9,-13.62
Tersina_viridis,-67.528333,-14.442222
Tersina_viridis,-43.35,-22.91667
Tersina_viridis,-44.72,-23.22
Tersina_viridis,-54.59905,-25.60701
Tersina_viridis,-54.597581,-25.585459
Tersina_viridis,-49.5,-20.583333
Tersina_viridis,-55.5333,-23.2666
Tersina_viridis,-55.533333,-23.266667
Tersina_viridis,-48.45,-23.716667
Tersina_viridis,-55.896339,-23.404383
Tersina_viridis,-54.75,-18.5
Tersina_viridis,-55.75,-15.416667
Tersina_viridis,-49.033333,-14.583333
Tersina_viridis,-49.5,-16.366667
Tersina_viridis,-54.033203,-12.499641
Tersina_viridis,-63.661437,-17.459607
Tersina_viridis,-63.6667,-17.45
Tersina_viridis,-59.666667,-5.283333
Tersina_viridis,-40.295661,-20.285247
Tersina_viridis,-45.412502,-23.761309
Tersina_viridis,-55.743599,-15.456327
Tersina_viridis,-55,-10
Tersina_viridis,-44.15,-18.8
Tersina_viridis,-37.216667,-8.25
Tersina_viridis,-41.516602,-13.27567
Tersina_viridis,-43.234634,-22.926777
Elaenia_cristata,-47.85589,-15.766164
Elaenia_cristata,-48.6674,-16.631
Elaenia_cristata,-43.919737,-19.963438
Elaenia_cristata,-65.766619,-11.186291
Elaenia_cristata,-65.776396,-11.21287
Elaenia_cristata,-65.755137,-11.076001
Elaenia_cristata,-65.775295,-11.199315
Elaenia_cristata,-65.773411,-11.217049
Elaenia_cristata,-40.553507,-2.83095
Elaenia_cristata,-40.484294,-2.837362
Elaenia_cristata,-47.554127,-14.138347
Elaenia_cristata,-48.121605,-10.260415
Elaenia_cristata,-48.89665,-19.893124
Elaenia_cristata,-41.454853,-12.474724
Elaenia_cristata,-47.727486,-15.845765
Elaenia_cristata,-62.85059,6.240582
Elaenia_cristata,-72.54213,-12.997607
Elaenia_cristata,-42.981968,-16.90365
Elaenia_cristata,-49.004044,-14.605882
Elaenia_cristata,-47.869877,-15.640775
Elaenia_cristata,-48.360203,-10.232636
Elaenia_cristata,-40.486076,-2.832729
Elaenia_cristata,-65.749275,-11.058532
Elaenia_cristata,-45.97688,-14.81906
Elaenia_cristata,-42.990597,-16.960527
Elaenia_cristata,-47.7726,-14.182119
Elaenia_cristata,-44.04228,-16.781816
Elaenia_cristata,-72.42253,-0.630852
Elaenia_cristata,-47.530334,-15.727917
Elaenia_cristata,-47.83233,-15.876066
Elaenia_cristata,-44.009018,-16.771675
Elaenia_cristata,-47.73636,-15.676716
Elaenia_cristata,-43.91902,-19.96192
Elaenia_cristata,-49.320457,-16.837015
Elaenia_cristata,-67.96567,3.479805
Elaenia_cristata,-40.518993,-2.796004
Elaenia_cristata,-47.531086,-15.72929
Elaenia_cristata,-48.137306,-10.279732
Elaenia_cristata,-45.002174,-19.210794
Elaenia_cristata,-47.53286,-14.137842
