spp,lon,lat
Vochysia_elliptica,-44.40417,-19.27444
Vochysia_elliptica,-51.11175,-19.305333
Vochysia_elliptica,-44.4525,-18.192222
Vochysia_elliptica,-52.8731,-10.8339
Vochysia_elliptica,-44.191944,-17.707222
Vochysia_elliptica,-47.9503,-16.2525
Vochysia_elliptica,-43.9305,-19.577972
Vochysia_elliptica,-42.933333,-16.583333
Vochysia_elliptica,-42.555278,-14.553611
Vochysia_elliptica,-45.040555,-18.540278
Vochysia_elliptica,-45.95722,-15.3675
Vochysia_elliptica,-47.821389,-14.168611
Vochysia_elliptica,-43.600833,-19.302389
Vochysia_elliptica,-43.666667,-19.116667
Vochysia_elliptica,-43.885028,-19.515944
Vochysia_elliptica,-43.879556,-19.456306
Vochysia_elliptica,-48.56139,-18.1425
Vochysia_elliptica,-43.616806,-19.349167
Vochysia_elliptica,-41.95,-13.366667
Vochysia_elliptica,-42.654444,-15.041666
Vochysia_elliptica,-43.588333,-19.284444
Vochysia_elliptica,-45.040556,-18.540278
Vochysia_elliptica,-43.638611,-19.356583
Vochysia_elliptica,-47.902222,-14.233056
Vochysia_elliptica,-44,-18
Vochysia_elliptica,-45.779167,-18.089722
Vochysia_elliptica,-44.182222,-17.752778
Vochysia_elliptica,-47,-14.133333
Vochysia_elliptica,-41.833,-13.317
Vochysia_elliptica,-47.666667,-16.75
Vochysia_elliptica,-43.733333,-19.383333
Vochysia_elliptica,-47.8215,-14.1685
Vochysia_elliptica,-42.891992,-16.468808
Vochysia_elliptica,-48.303611,-18.990556
Vochysia_elliptica,-45.7525,-18.636111
Vochysia_elliptica,-47.4583,-13.7975
Vochysia_elliptica,-42.933333,-16.816667
Vochysia_elliptica,-53.72556,-16.2125
Vochysia_elliptica,-43.9378,-19.9208
Vochysia_elliptica,-48.662777,-17.772777
Vochysia_elliptica,-43.6,-19.266667
Vochysia_elliptica,-48.905833,-15.821111
Vochysia_elliptica,-47.806111,-16.454722
Vochysia_elliptica,-47.50972,-14.1325
Vochysia_elliptica,-47.683333,-16.728056
Vochysia_elliptica,-45.333333,-18.133333
Vochysia_elliptica,-43.71417,-19.16917
Vochysia_elliptica,-42.758889,-15.383333
Vochysia_elliptica,-47.433333,-14.033333
Vochysia_elliptica,-41.884167,-13.368611
Vochysia_elliptica,-42.770278,-15.903889
Vochysia_elliptica,-54.95,-15.983333
Vochysia_elliptica,-47.52444,-14.70583
Vochysia_elliptica,-47.6136,-16.7686
Vochysia_elliptica,-42.594722,-19.221389
Vochysia_elliptica,-43.784586,-18.965774
Vochysia_elliptica,-43,-19
Vochysia_elliptica,-43.971389,-18.280278
Vochysia_elliptica,-43.265111,-16.962194
Vochysia_elliptica,-43.755556,-19.006111
Vochysia_elliptica,-43.568056,-19.290833
Vochysia_elliptica,-42.441388,-15.442222
Vochysia_elliptica,-53.675,-16.330278
Vochysia_elliptica,-42.428333,-15.831111
Vochysia_elliptica,-47.80611,-16.45472
Vochysia_elliptica,-45.815278,-15.4375
Vochysia_elliptica,-43.618611,-19.349444
Vochysia_elliptica,-43.676667,-19.101389
Vochysia_elliptica,-43.566667,-19.3
Vochysia_elliptica,-47.595556,-14.158333
Vochysia_elliptica,-43.733333,-18.766667
Vochysia_elliptica,-43.522444,-17.574806
Vochysia_elliptica,-45.921389,-13.719167
Vochysia_elliptica,-50.383333,-16.183333
Vochysia_elliptica,-47.509167,-14.091111
Vochysia_elliptica,-51.756111,-16.708333
Vochysia_elliptica,-48.937778,-15.718889
Vochysia_elliptica,-48.32,-10.206667
Vochysia_elliptica,-43.15,-12.866667
Vochysia_elliptica,-51.111667,-19.305278
Vochysia_elliptica,-44.195556,-19.291389
Vochysia_elliptica,-43.603333,-19.267222
Vochysia_elliptica,-47.5,-17
Vochysia_elliptica,-48.62472,-17.74194
Vochysia_elliptica,-43.6,-19.317
Vochysia_elliptica,-42.540278,-14.586389
Vochysia_elliptica,-47.9938,-16.6748
Vochysia_elliptica,-43.911111,-18.306111
Vochysia_elliptica,-43.964,-18.594333
Vochysia_elliptica,-43.840556,-18.296389
Vochysia_elliptica,-41.816667,-13.483333
Vochysia_elliptica,-47.45,-14.133333
Vochysia_elliptica,-47.691111,-16.738611
Vochysia_elliptica,-47.6,-16.75
Vochysia_elliptica,-48.25,-15.55
Vochysia_elliptica,-53.675,-16.3302778
Vochysia_elliptica,-43.590383,-19.278617
Vochysia_elliptica,-47.080556,-13.929444
Vochysia_elliptica,-42.51,-15.436944
Vochysia_elliptica,-47.88,-12.14
Vochysia_elliptica,-43.486611,-18.432389
Vochysia_elliptica,-43.666111,-19.226111
Vochysia_elliptica,-43.566667,-19.283333
Vochysia_elliptica,-43.74056,-18.45444
Vochysia_elliptica,-43.721333,-19.046222
Vochysia_elliptica,-44.18639,-17.75153
Vochysia_elliptica,-47.61333,-16.76861
Vochysia_elliptica,-48.901389,-15.838056
Vochysia_elliptica,-43.773611,-19.004444
Vochysia_elliptica,-42.7525,-15.338333
Vochysia_elliptica,-43.5175,-17.568611
Vochysia_elliptica,-41.792222,-13.286667
Vochysia_elliptica,-48.055556,-13.605833
Vochysia_elliptica,-47.809444,-14.151944
Vochysia_elliptica,-44.175,-17.353056
Vochysia_elliptica,-45.48467,-15.26416
Vochysia_elliptica,-41.887778,-13.299722
Vochysia_elliptica,-43.74472,-19.51361
Vochysia_elliptica,-43.9,-18.916667
Vochysia_elliptica,-43.666667,-19.05
Vochysia_elliptica,-43.016944,-15.170833
Vochysia_elliptica,-41.808611,-13.5675
Vochysia_elliptica,-47.516667,-14.116667
Vochysia_elliptica,-53.725556,-16.2125
Vochysia_elliptica,-41.85,-13.3
Vochysia_elliptica,-43.5825,-19.346944
Vochysia_elliptica,-47.831944,-14.183056
Vochysia_elliptica,-44.298089,-20.003811
Vochysia_elliptica,-45.813056,-15.445
Vochysia_elliptica,-45.957778,-15.363056
Vochysia_elliptica,-46.362222,-11.821389
Vochysia_elliptica,-44.533333,-17.533333
Vochysia_elliptica,-43.616667,-19.316667
Vochysia_elliptica,-43.605556,-19.313333
Vochysia_elliptica,-41.833333,-13.316667
Vochysia_elliptica,-47.2647,-13.7764
Vochysia_elliptica,-47.893611,-14.228056
Vochysia_elliptica,-42.098333,-13.330556
Vochysia_elliptica,-47.636111,-14.151944
Vochysia_elliptica,-47.439167,-13.933333
Vochysia_elliptica,-43.913889,-19.483333
Vochysia_elliptica,-48.483889,-16.058889
Vochysia_elliptica,-41.816667,-13.6
Vochysia_elliptica,-42.516667,-14.259444
Vochysia_elliptica,-43.577222,-19.348889
Vochysia_elliptica,-47.616667,-16.766667
Vochysia_elliptica,-47.922778,-14.213889
Vochysia_elliptica,-47.8094444,-14.1519444
Vochysia_elliptica,-43.9138889,-19.4833333
Vochysia_elliptica,-48.4025,-12.791111
Vochysia_elliptica,-43.67667,-19.10139
Vochysia_elliptica,-48.484,-16.059
Vochysia_elliptica,-47.741388,-14.144166
Vochysia_elliptica,-45.782778,-18.086944
Vochysia_elliptica,-52.614167,-16.473333
Vochysia_elliptica,-48.65,-17.766667
Vochysia_elliptica,-43.583333,-19.333333
Vochysia_elliptica,-43.506944,-17.233469
Vochysia_elliptica,-43.872842,-18.214875
Vochysia_elliptica,-48.35,-13.45
Vochysia_elliptica,-42.09833,-13.33056
Vochysia_elliptica,-45.95778,-15.36306
Vochysia_elliptica,-45.866667,-14.890556
Vochysia_elliptica,-41.783333,-13.25
Vochysia_elliptica,-43.7,-19.166667
Vochysia_elliptica,-41.82,-13.6
Vochysia_elliptica,-47.038888,-17.092777
Vochysia_elliptica,-44.628889,-14.935833
Vochysia_elliptica,-43.618722,-19.349361
Vochysia_elliptica,-42.753333,-13.086111
Vochysia_elliptica,-43.911111,-18.305833
Vochysia_elliptica,-51.711944,-17.900278
Vochysia_elliptica,-43.744444,-19.383333
Vochysia_elliptica,-43.70025,-19.39
Vochysia_elliptica,-47.638888,-14.067777
Vochysia_elliptica,-43.61027,-19.32222
Vochysia_elliptica,-48.748333,-17.779444
Vochysia_elliptica,-48.665555,-17.786111
Vochysia_elliptica,-47.8061111,-16.4547222
Vochysia_elliptica,-51.563611,-17.045833
Vochysia_elliptica,-46.03,-14.87
Vochysia_elliptica,-43.635278,-19.423056
Vochysia_elliptica,-43.618972,-19.356639
Vochysia_elliptica,-47.573333,-16.786944
Vochysia_elliptica,-47.733056,-14.110278
Vochysia_elliptica,-48.038333,-15.526667
Vochysia_elliptica,-45.379722,-15.494167
Vochysia_elliptica,-47.528028,-14.018278
Vochysia_elliptica,-48.065,-13.6
Vochysia_elliptica,-41.861667,-13.310278
Vochysia_elliptica,-42.557222,-14.554444
Vochysia_elliptica,-48.931944,-15.721667
Vochysia_elliptica,-48.625,-17.7417
Vochysia_elliptica,-47.396667,-13.899722
Vochysia_elliptica,-46.03167,-18.37806
Vochysia_elliptica,-41.81139,-13.57917
Vochysia_elliptica,-47.5075,-14.071667
Vochysia_elliptica,-43.7444444,-19.3833333
Vochysia_elliptica,-47.43,-14.03
Vochysia_elliptica,-41.8,-13.58
Vochysia_elliptica,-43.760278,-18.958056
Vochysia_elliptica,-48.9592,-15.8525
Vochysia_elliptica,-43.392542,-16.856944
Vochysia_elliptica,-43.694722,-19.138056
Vochysia_elliptica,-43.527136,-17.567139
Vochysia_elliptica,-41.8,-13.583333
Vochysia_elliptica,-43.6,-19.316667
Vochysia_elliptica,-43.772778,-19.96
Vochysia_elliptica,-42.5475,-14.687778
Vochysia_elliptica,-41.896944,-13.388889
Vochysia_elliptica,-47.233333,-13.666667
Vochysia_elliptica,-41.8166667,-13.4833333
Vochysia_elliptica,-47.696111,-13.943889
Vochysia_elliptica,-43.601917,-19.292083
Vochysia_elliptica,-48.216667,-10.283333
Vochysia_elliptica,-43.795606,-18.925455
Vochysia_elliptica,-46.380833,-11.795555
Vochysia_elliptica,-43.954964,-18.671964
Vochysia_elliptica,-42.680556,-12.0375
Vochysia_elliptica,-42.482777,-15.915555
Vochysia_elliptica,-42.573056,-14.745556
Vochysia_elliptica,-42.34306,-16.80444
Vochysia_elliptica,-48.106111,-13.605556
Vochysia_elliptica,-48.1061111,-13.6055556
Vochysia_elliptica,-43.895833,-18.530556
Vochysia_elliptica,-46.1725,-17.74278
